Dia;Mês;Ano;Cepagri;IAC;Viracopos
13;12;1990;29.6;27.4;30.22
14;12;1990;26.0;24.8;23
15;12;1990;27.4;27.4;28.61
16;12;1990;32.0;31.4;31
17;12;1990;33.8;32.8;32
18;12;1990;32.4;31.6;32
19;12;1990;32.8;32.4;31.5
20;12;1990;30.0;29.2;28
21;12;1990;31.2;31.1;30
22;12;1990;32.4;32.8;32
23;12;1990;33.8;34;33
24;12;1990;31.8;31.8;32
25;12;1990;30.6;32.2;31.72
26;12;1990;29.2;30.6;29.5
27;12;1990;31.2;29.8;30
28;12;1990;31.6;31.2;30
29;12;1990;21.4;24.6;30.39
30;12;1990;25.8;26;25
31;12;1990;29.0;28.8;27.39
1;1;1991;30.4;30.4;29
2;1;1991;31.3;30.8;30
3;1;1991;30.4;30;30
4;1;1991;23.6;23.4;26.78
5;1;1991;28.2;28.4;28
6;1;1991;30.0;29.4;29
7;1;1991;31.3;31.2;30
8;1;1991;33.4;32.2;31
9;1;1991;33.2;32.2;32
10;1;1991;30.3;30.4;32.39
11;1;1991;27.8;26.4;29.5
12;1;1991;26.8;26;26
13;1;1991;31.6;31.2;30
14;1;1991;27.6;27.6;30
15;1;1991;27.9;27.6;26.39
16;1;1991;29.4;28;28
17;1;1991;26.5;26;27.72
18;1;1991;28.4;27.6;27
19;1;1991;29.6;29.2;28
20;1;1991;31.2;30.6;30
21;1;1991;32.6;31.6;31
22;1;1991;33.4;32.6;32
23;1;1991;33.2;32.6;32
24;1;1991;31.8;30.8;31.5
25;1;1991;28.9;27.8;30.5
26;1;1991;24.6;22.8;27.5
27;1;1991;23.8;22.6;23
28;1;1991;29.1;28.4;29
29;1;1991;30.8;29.2;29
30;1;1991;29.4;28.8;28
31;1;1991;28.8;28;27.61
1;2;1991;27.8;26.8;27
2;2;1991;29.8;28.6;27
3;2;1991;31.0;29.8;29
4;2;1991;32.8;31.4;31
5;2;1991;30.4;30.4;29
6;2;1991;30.5;30;28.72
7;2;1991;29.2;29;28
8;2;1991;25.2;25;28
9;2;1991;27.6;28;27
10;2;1991;28.4;27.8;27
11;2;1991;29.2;28.4;29
12;2;1991;29.8;29.2;29
13;2;1991;30.2;28.8;29
14;2;1991;31.2;30.4;30
