Dia,Mês,Ano,Cepagri,IAC
26,5,1990,11.4,11.4
27,5,1990,12.2,13.2
28,5,1990,13.4,14.2
29,5,1990,16,16.8
30,5,1990,14.4,15.4
31,5,1990,14.5,15.2
1,6,1990,15,16.2
2,6,1990,15.2,16
3,6,1990,15.6,15.8
4,6,1990,14.2,14.6
5,6,1990,13.9,14
6,6,1990,16,16
7,6,1990,17.8,17.2
8,6,1990,15.1,14.8
9,6,1990,14.2,15
10,6,1990,13.8,15
11,6,1990,12.5,12
12,6,1990,11.9,12
13,6,1990,11.5,12.2
14,6,1990,11.7,12.2
15,6,1990,11.9,11.2
16,6,1990,10.8,10.4
17,6,1990,12.4,11.2
18,6,1990,12.6,11.2
19,6,1990,10,11.2
20,6,1990,14.6,14.8
21,6,1990,12.7,12.4
22,6,1990,5.3,4.8
23,6,1990,4.6,5.8
24,6,1990,4.2,5.8
25,6,1990,8,9.6
26,6,1990,13.7,12.8
27,6,1990,13,13
28,6,1990,9.4,11.8
29,6,1990,10.2,11.4
30,6,1990,12.8,11.4
1,7,1990,14.2,13.4
2,7,1990,14.6,14
3,7,1990,13,14
4,7,1990,11.8,14
5,7,1990,13.5,13.8
6,7,1990,11.4,12
7,7,1990,11.8,12.2
8,7,1990,11.4,12.8
9,7,1990,10.2,11.6
10,7,1990,15.4,15.6
11,7,1990,13.8,13.8
12,7,1990,9.6,9.2
13,7,1990,9.8,10.2
14,7,1990,11.4,11.4
15,7,1990,9.8,11.6
16,7,1990,12.2,14.4
17,7,1990,11.8,15.2
18,7,1990,11.6,15
19,7,1990,13.4,16.2
20,7,1990,12.4,15
21,7,1990,7.6,13.4
22,7,1990,7.6,10
23,7,1990,8.4,10.4
24,7,1990,13.2,11.4
25,7,1990,16.4,15
26,7,1990,12.6,13.4
27,7,1990,12.8,17.4
28,7,1990,6.6,9.4
29,7,1990,4.4,2
30,7,1990,3.8,4.2
31,7,1990,6.2,6
1,8,1990,8,7.8
2,8,1990,10.9,10.4
3,8,1990,9.4,10.8
4,8,1990,10.6,12
5,8,1990,10,10.2
6,8,1990,12.8,13.4
7,8,1990,10.4,11.6
8,8,1990,14.1,12
9,8,1990,12.3,13.4
10,8,1990,13.5,13
11,8,1990,10.8,11.4
12,8,1990,10.4,11.4
13,8,1990,12.6,12.4
14,8,1990,13,12.4
15,8,1990,12.1,12.8
16,8,1990,13.9,15
17,8,1990,16.9,16.8
18,8,1990,15.4,15.4
19,8,1990,15.9,16
20,8,1990,16.8,17
21,8,1990,17.3,16.8
22,8,1990,14.9,14.2
23,8,1990,13.7,13
24,8,1990,13.3,12.4
25,8,1990,12.4,11.4
26,8,1990,12.8,12.4
27,8,1990,16.4,16.2
28,8,1990,15.7,15.4
29,8,1990,10.1,9.2
30,8,1990,11.6,11
31,8,1990,15.1,14.6
1,9,1990,17,16.6
